Date,HomeTeam,FTHG,AwayTeam,FTAG
04.03.2016,Den Haag,2,Twente,1
05.03.2016,Groningen,0,PSV Eindhoven,3
05.03.2016,Heerenveen,0,Utrecht,4
05.03.2016,Zwolle,2,Graafschap,1
06.03.2016,AZ Alkmaar,2,Excelsior,0
06.03.2016,Feyenoord,3,Cambuur,1
06.03.2016,Nijmegen,1,Heracles,0
06.03.2016,Roda,1,Vitesse,2
06.03.2016,Willem II,0,Ajax,4
11.03.2016,Graafschap,3,Roda,0
12.03.2016,Excelsior,2,Groningen,1
12.03.2016,PSV Eindhoven,1,Heerenveen,1
12.03.2016,Twente,2,Zwolle,1
12.03.2016,Willem II,0,AZ Alkmaar,2
13.03.2016,Ajax,2,Nijmegen,2
13.03.2016,Heracles,3,Cambuur,1
13.03.2016,Utrecht,2,Den Haag,2
13.03.2016,Vitesse,0,Feyenoord,2
18.03.2016,Utrecht,2,Excelsior,1
19.03.2016,Cambuur,0,Roda,1
19.03.2016,Feyenoord,3,Graafschap,1
19.03.2016,Heerenveen,0,Heracles,1
19.03.2016,Zwolle,4,Willem II,1
20.03.2016,Den Haag,1,Nijmegen,0
20.03.2016,Groningen,0,Vitesse,3
20.03.2016,PSV Eindhoven,0,Ajax,2
20.03.2016,Twente,2,AZ Alkmaar,2
02.04.2016,AZ Alkmaar,2,PSV Eindhoven,4
02.04.2016,Feyenoord,3,Excelsior,0
02.04.2016,Graafschap,2,Cambuur,2
02.04.2016,Heracles,1,Utrecht,1
02.04.2016,Willem II,2,Twente,3
03.04.2016,Ajax,3,Zwolle,0
03.04.2016,Den Haag,0,Groningen,1
03.04.2016,Nijmegen,2,Vitesse,1
03.04.2016,Roda,1,Heerenveen,2
08.04.2016,Zwolle,3,Roda,1
09.04.2016,Cambuur,0,Ajax,1
09.04.2016,Excelsior,1,Heracles,3
09.04.2016,PSV Eindhoven,2,Willem II,0
09.04.2016,Vitesse,2,Den Haag,2
10.04.2016,Groningen,3,Graafschap,1
10.04.2016,Heerenveen,4,AZ Alkmaar,2
10.04.2016,Twente,0,Feyenoord,1
10.04.2016,Utrecht,3,Nijmegen,1
15.04.2016,Graafschap,1,Twente,1
16.04.2016,AZ Alkmaar,5,Zwolle,1
16.04.2016,Feyenoord,1,Groningen,1
16.04.2016,Roda,0,PSV Eindhoven,3
16.04.2016,Vitesse,1,Heracles,1
17.04.2016,Ajax,2,Utrecht,2
17.04.2016,Excelsior,1,Heerenveen,1
17.04.2016,Nijmegen,2,Cambuur,1
17.04.2016,Willem II,0,Den Haag,2
19.04.2016,Groningen,1,Roda,0
19.04.2016,PSV Eindhoven,2,Vitesse,0
20.04.2016,Heerenveen,0,Ajax,2
20.04.2016,Heracles,2,Feyenoord,2
20.04.2016,Twente,2,Excelsior,0
20.04.2016,Utrecht,0,Graafschap,2
20.04.2016,Zwolle,2,Nijmegen,0
21.04.2016,Cambuur,1,Willem II,1
21.04.2016,Den Haag,1,AZ Alkmaar,2
01.05.2016,Ajax,4,Twente,0
01.05.2016,AZ Alkmaar,4,Graafschap,1
01.05.2016,Excelsior,2,Zwolle,2
01.05.2016,Heerenveen,1,Groningen,2
01.05.2016,Heracles,1,Den Haag,1
01.05.2016,Nijmegen,1,Roda,2
01.05.2016,PSV Eindhoven,6,Cambuur,2
01.05.2016,Vitesse,1,Utrecht,3
01.05.2016,Willem II,0,Feyenoord,1
08.05.2016,Cambuur,0,Excelsior,2
08.05.2016,Den Haag,1,Heerenveen,1
08.05.2016,Feyenoord,1,Nijmegen,0
08.05.2016,Graafschap,1,Ajax,1
08.05.2016,Groningen,2,Heracles,1
08.05.2016,Roda,2,Willem II,3
08.05.2016,Twente,2,Vitesse,2
08.05.2016,Utrecht,1,AZ Alkmaar,3
08.05.2016,Zwolle,1,PSV Eindhoven,3
