Date,HomeTeam,FTHG,AwayTeam,FTAG
19.03.2016,Ein Frankfurt,1,Hannover,0
19.03.2016,FC Koln,0,Bayern Munich,1
19.03.2016,Hamburg,1,Hoffenheim,3
19.03.2016,Hertha,2,Ingolstadt,1
19.03.2016,Werder Bremen,1,Mainz,1
19.03.2016,Wolfsburg,1,Darmstadt,1
20.03.2016,Augsburg,1,Dortmund,3
20.03.2016,Stuttgart,0,Leverkusen,2
01.04.2016,Leverkusen,3,Wolfsburg,0
02.04.2016,Bayern Munich,1,Ein Frankfurt,0
02.04.2016,Darmstadt,2,Stuttgart,2
02.04.2016,Dortmund,3,Werder Bremen,2
02.04.2016,Hannover,0,Hamburg,3
02.04.2016,Ingolstadt,3,Schalke 04,0
02.04.2016,Mainz,4,Augsburg,2
03.04.2016,Hoffenheim,1,FC Koln,1
03.04.2016,M'gladbach,5,Hertha,0
08.04.2016,Hertha,2,Hannover,2
09.04.2016,Ein Frankfurt,0,Hoffenheim,2
09.04.2016,Hamburg,1,Darmstadt,2
09.04.2016,Ingolstadt,1,M'gladbach,0
09.04.2016,Stuttgart,1,Bayern Munich,3
09.04.2016,Werder Bremen,1,Augsburg,2
09.04.2016,Wolfsburg,1,Mainz,1
10.04.2016,FC Koln,0,Leverkusen,2
10.04.2016,Schalke 04,2,Dortmund,2
15.04.2016,Hannover,2,M'gladbach,0
16.04.2016,Augsburg,1,Stuttgart,0
16.04.2016,Bayern Munich,3,Schalke 04,0
16.04.2016,Darmstadt,2,Ingolstadt,0
16.04.2016,Hoffenheim,2,Hertha,1
16.04.2016,Leverkusen,3,Ein Frankfurt,0
16.04.2016,Werder Bremen,3,Wolfsburg,2
17.04.2016,Dortmund,3,Hamburg,0
17.04.2016,Mainz,2,FC Koln,3
22.04.2016,Hamburg,2,Werder Bremen,1
23.04.2016,FC Koln,4,Darmstadt,1
23.04.2016,Hertha,0,Bayern Munich,2
23.04.2016,Ingolstadt,2,Hannover,2
23.04.2016,Schalke 04,2,Leverkusen,3
23.04.2016,Stuttgart,0,Dortmund,3
23.04.2016,Wolfsburg,0,Augsburg,2
24.04.2016,Ein Frankfurt,2,Mainz,1
24.04.2016,M'gladbach,3,Hoffenheim,1
29.04.2016,Augsburg,0,FC Koln,0
30.04.2016,Bayern Munich,1,M'gladbach,1
30.04.2016,Darmstadt,1,Ein Frankfurt,2
30.04.2016,Dortmund,5,Wolfsburg,1
30.04.2016,Hannover,1,Schalke 04,3
30.04.2016,Hoffenheim,2,Ingolstadt,1
30.04.2016,Leverkusen,2,Hertha,1
30.04.2016,Mainz,0,Hamburg,0
02.05.2016,Werder Bremen,6,Stuttgart,2
07.05.2016,Ein Frankfurt,1,Dortmund,0
07.05.2016,FC Koln,0,Werder Bremen,0
07.05.2016,Hamburg,0,Wolfsburg,1
07.05.2016,Hannover,1,Hoffenheim,0
07.05.2016,Hertha,1,Darmstadt,2
07.05.2016,Ingolstadt,1,Bayern Munich,2
07.05.2016,M'gladbach,2,Leverkusen,1
07.05.2016,Schalke 04,1,Augsburg,1
07.05.2016,Stuttgart,1,Mainz,3
14.05.2016,Augsburg,1,Hamburg,3
14.05.2016,Bayern Munich,3,Hannover,1
14.05.2016,Darmstadt,0,M'gladbach,2
14.05.2016,Dortmund,2,FC Koln,2
14.05.2016,Hoffenheim,1,Schalke 04,4
14.05.2016,Leverkusen,3,Ingolstadt,2
14.05.2016,Mainz,0,Hertha,0
14.05.2016,Werder Bremen,1,Ein Frankfurt,0
14.05.2016,Wolfsburg,3,Stuttgart,1
